,,,,,,,,,,Specialization areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a graduate class on land use and/or land use planning (w/o transportation)?,"If yes, what is the name and number of the course?",Is there a graduate class covering urban transportation planning (w/o land use)?,"If yes, is the course offered in the planning deparment?",Does the civil engineering department offer an urban transportation plannning course (w/o land use)?,Does the plannning program offer an integrated land use-transportation course?,Size of the faculty?,,Administration and law,Community development,Comprehensive planning,Economic Development,Energy/resource,Environmental planning,Fiscal and govnment finance,GIS,Historic preservation,Housing,Health/human service and social service planning,Infrastructure/public service,International planning,Landscape ecological planning,Land use,Land use/growth management,Planning theory,Physical planning,Planning management,Policy Planning,Real estate development,Regional Planning,Rural and small town planning,Transportation,Transportation/Land use,Urban design,Urban and regional development,Totals,8th edition - 11th edition,Notes
Alabama A&M University,Community Planning and Urban Studies ,Y,Land Use Planning (URP 533 01),Y,Y,N,N,6,,,1,,,,1,,,,1,,,1,,,,,,,,,,,1,,,,5,1,"housing and community development was divided in to housing, and community development"
,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,1,,,,4,,
Arizona State University,Urban and Environmental Planning,Y,Urban Land Use Planning (PUP 544),N,,,Y,17,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,-3,The Land use/growth management was named urban and regional development
,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,1,,1,,6,,Urban design and landscape ecological planning were combined
Ball State University,Urban and Regional Planning ,Y,Urban Land-use (537),Y,Y,N,N,9,,,1,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,5,-3,
,,,,,,,,,,,1,,1,,1,,1,,,,,,,,1,,1,,,,,1,,,1,,8,,
"California Polytechnic State University, San Luis Obispo",City and Regional Planning,Y,Feasibility Studies in Planning (CRP 520) (not sure),N,,,Y,8,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,3,0,
,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,3,,
"California State Polytechnic University, Pomona",Urban and R egional Planning,Y,Land Use Planning and Design (URP 638/638L),Y,Y,N,N,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-4,No specialization
,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,1,,,,4,,
Clemson University,Planning,Y,Advanced Land Use and Built Form Studio (not sure),Y,N,Y,N,6,,,1,,,,1,,1,1,1,1,,,,1,,,1,,,,,,,,1,,9,4,
,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,1,,,,,,,5,,
Cleveland State University,"Urban Planning, Design and Development ",,,N,,N,N,9,,1,,,1,,1,,,,1,1,,,,,1,,,,1,,,,,,,,7,-3,
,,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,1,1,1,1,1,,,,1,,10,,
Columbia University,Urban Planning,Y,Land Use Planning (PLA6108),Y,Y,N,N,6,,,,,1,,,,,,1,1,,1,,,,,1,,,,,,,,,,5,-3,
,,,,,,,,,,,1,,1,,,,,1,,1,,1,,,,,1,,,1,1,,,,,,8,,
Cornell University,Regional Planning,Y,Urban Land-Use Planning I (CRP552) and Urban Land-Use Planning II (CRP553),N,,N,N,21,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,4,-6,
,,,,,,,,,,1,1,,,,1,,1,1,,,,1,,,1,,1,1,,1,,,,,,,10,,
Eastern Michigan University,Geography,N,,N,,N,N,No information in the Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the books
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the books
Eastern Washington University,Urban and Regional Planning,Y,Land Use Planning (PLAN 440.40),N,,N,N,8,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,5,1,
,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,4,,
Florida Atlantic University,Urban and Regional Planning,N,,Y,Y,N,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5,No information in the book
,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,5,,
Florida State University,Planning,Y,Land-Use Planning (URP 5316),Y,Y,N,Y,11,,,1,1,,,1,,,,1,1,,,,,1,,,,,,,,1,,,,7,0,
,,,,,,,,,,,1,,,,1,,,,1,1,,1,,,1,,,,,,,,1,,,,7,,
Georgia Institute of Technology,City Planning,Y,Introduction to Land Use Planning (CP6112) and Land Use Planning Methods (CP6122),Y,Y,N,Y,11,,,1,,1,,1,,1,,,,,,,1,1,,,,1,1,,,1,,1,,10,3,
,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,1,,,1,,1,,7,,
Harvard University,Urban Planning and Design,N,,Y,Y,N,N,17,,1,,,1,,1,,,,1,1,,1,,,,,,,1,,,,1,,,,8,-5,
,,,,,,,,,,,1,,1,,1,,1,1,,1,1,1,,,1,,1,1,,1,,1,,,,,13,,
"Hunter College, City University of New York",Urban Planning,Y,Introduction to Land Use Planning (URBP 719),Y,Y,N,N,7,,,,,1,,1,,,,1,1,,,,1,,,,,,1,,,1,,1,,8,2,
,,,,,,,,,,,1,,1,,,,,,1,1,,,,1,,,,,,,,,1,,,,6,,
Iowa State University,Community and Regional Planning,Y,Land Use Planning (521),Y,Y,N,N,9,,,1,,,,1,,1,,1,,,1,,,,,,1,1,,,,1,,1,,9,4,
,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,1,,,,,1,,,5,,
Kansas State University,Regional and Community Planning,Y,LAND DEVELOP PLAN (PLAN655),N,,,N,6,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,1,,5,-4,
,,,,,,,,,,,1,,,,1,,,1,1,1,,,,,1,,1,,,,,1,,,1,,9,,
Massachusetts Institute of Technology,City Planning,Y,Community Growth and Land Use Planning (11.360),Y,Y,Y,"Y (??? Urban Transportation, Land Use, & the Environment in Latin America:A Case Study Approach ",24,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,1,,5,-11,
,,,,,,,,,,,1,,1,,1,1,1,1,,1,1,1,,,1,,1,,1,1,1,,1,,1,,16,,
Michigan State University,Urban and Regional Planning,N,,N,,,N,8,,1,,,1,,,,1,1,1,,,1,,,1,,,,1,1,,,1,,1,,11,8,"Other: land reclaimation, generalist"
,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,3,,
Morgan State University,City and Regional Planning,Y,Urban Land Use for Planners (CREP 506),Y,Y,N,N,3,,,,,,,1,,,,,,,,,1,,,,1,1,,1,,,,,,5,-1,
,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,1,,1,,6,,
New York University,Urban Planning,N (not sure),,N,,,N,5,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,4,-9,
,,,,,,,,,,,1,,1,,1,1,1,,,1,1,1,,,1,,,1,1,,1,,1,,,,13,,
Ohio State University,City and Regional Planning,Y (???),LAND-USE CONTROLS (761),Y,Y,Y,N,10,,1,,,1,1,1,,1,,1,,,1,,1,,,,,1,,1,,1,,1,,12,0,
,,,,,,,,,,1,,,1,1,1,,1,,,,,1,,,1,,1,,1,,1,,1,,1,,12,,
Pratt Institute,Land Use Development Studio,Y,Land Use Development Studio (EMS 653 PL 653),N,,,N,4,,,1,,,,1,,,1,1,1,,,,1,,,,,,1,,,,,,,7,4,
,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,3,,
"Rutgers, The State University of New Jersey",Urban Planning and Policy Development,N,,Y,Y,N,Y,No information in the Book,,,1,,1,,1,,1,1,1,1,1,1,,1,,1,,,1,1,1,,1,,1,,16,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in book
San Jose State University,Urban Planning,Y,LAND USE + URB PL (URBP 142),Y,Y,N,N,5,,1,1,,,,1,,1,,1,1,,,,1,,,,,,,,,1,,1,,9,4,
,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,1,,5,,
State University of New York at Albany,Regional Planning,N,,N,,,Y,4,,,,,,,1,,1*,,,,,,,,,,,,,,,,1,,,1,2,-3,* Urban and regional information system
,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,,1,,,,1,5,,
State University of New York at Buffalo,Urban Planning,N,,Y,Y,N,N,11,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,-5,
,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,,1,1,,,,,,,1,,7,,
Texas A & M University,Urban Planning,N,,Y,Y,?,N,11,,1,,,,,,,1,1,1,1,1,,,,1,,1,,,1,,,1,,1,,11,3,
,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,,,,,1,,,1,,1,,8,,
The University of Arizona,Planning,Y,"Land Use and Growth Controls (PLN 459/559) or Land Development Process (PLN 576/476)
",Y,Y,Y,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-4,No information
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,1,4,,
University of British Columbia,Community and Regional Planning,Y,Land Use Planning (375 (2-3)) (offered by law school),Y,N,Y,N,8,,,1,,,,1,,,,,1,,1,,,,,1,,1,1,,,,,1,1,8,3,
,,,,,,,,,,,1,,,,1,,,,,1,,1,,,,,1,,,,,,,,,,5,,
University of California at Berkeley,City and Regional Planning,Y,Introduction to Land Use Planning (CP 250),Y,Y,(Cannot access to the website of Civil Engineering),Y,15,,,1,,,,,,,,1,1,1,,,,,,1,1,,1,,,1,,,1,8,-5,
,,,,,,,,,,,1,,1,,1,,1,,1,1,1,1,,,1,,1,,,1,,,1,,1,1,13,,
"University of California, Irvine",Urban and Regional Planning,N,,N,,,N,14,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,4,-3,
,,,,,,,,,,,1,,1,,1,,,,,1,,,,,1,,,,,,,,1,,1,,7,,
"University of California, Los Angeles",Urban Planning,N,,Y,Y,N,Y,16,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,3,-1,
,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,4,,"This is only main category, there are still sub specialization in each category."
University of Cincinnati,Community Planning,N,,Y,Y,N,N,18,,,,,1,,,,,,,,,1,,1,,,1,,,,,,,,1,,5,-1,
,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,1,,,,,,,,1,,6,,
University of Colorado at Denver,Urban and Regional Planning,Y,Regional Land Use Analysis and Planning (URP 6656),Y,Y,N,N,12,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,3,-2,
,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,5,,
University of Florida,Urban and Regional Planning,Y,Land Development Planning (URP 6312),Y,Y,N,N,9,,,1,,,,,,1,,1,,,,,,1,,,,,1,,,,,1,,6,-1,
,,,,,,,,,,,1,,1,,1,,1,,,,,,,,1,,,,,,,,1,,1,,7,,
University of Hawaii at Manoa,Urban and Regional Planning,Y,Land Use Planning (PLAN 640),Y,Y,N,N,8,,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,4,-9,
,,,,,,,,,,,1,,1,,1,,1,1,,1,1,1,,,1,,1,,,,,1,1,,1,1,13,,Other: Tourism/recreation
Universty of Illinois at Chicago,Urban Planning and Policy,Y,Land Use Planning (UPP 558),Y,Y,N,N,18,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2,-3,
,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,1,,,,,,1,,,,5,,
University of Illiniois at Urbana-Champaign,Urban and Regional Planning,Y,Land Use Policy and Planning (UP446) (Is it a graduate course?),Y,Y,Y,N,15,,,1,,1,,1,,,1,1,,,,,1,,,,,,,,,,,,,6,-3,Other: decision support system
,,,,,,,,,,,1,,1,,1,,1,,,,1,1,,,1,,1,,,,,,,,1,1,9,,
University of Iowa,Urban and Regional Planning,Y,Land Use Planning: Law and Practice (102:202),Y,Y,N,Y,6,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,,,,4,-1,
,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,,,5,,
University of Kansas,Urban Planning,Y,Introduction to Land Use Planning (UBPL 730),Y,Y,N,N,6,,,1,,,,1,,,,1,,,,,1,,,,,,,,,1,,1,,6,2,
,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,,4,,
University of Maryland at College Park,Urban Studies and Planning,Y,Land Use Planning: Concepts and Techniques (URSP 603),N,,,N,6,,1,1,,1,,1,,1,1,1,1,,1,,,,1,,,,,1,,1,,1,,13,4,Other: Recreatoin planning
,,,,,,,,,,1,,,1,,1,,,,1,1,,1,,1,1,,,,,,,,,,1,,9,,
University of Massachusetts-Amherst,Regional Planning,N,,N,,,Y (It has a class lin Seminar in Transportation and Infrastructure Planning ),6,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,4,-10,
,,,,,,,,,,,1,,1,,1,1,1,,1,,1,1,,,1,,1,1,1,,,1,,,1,1,14,,Other: Industrial planning
University of Memphis,City and Regional Planning,Y,Land Use Planning (7202),N,,,N,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No formal specialization
University of Michigan,Urban Planning,Y,Land Use Pln & Des (579),N,,,Y,12,,,1,,1,,1,1,1,,1,,,1,,1,,,1,,,1,,,1,,1,,12,3,Other: Gaming/simulation
,,,,,,,,,,,1,,1,,1,,,,1,,,1,,1,,,1,,,,,,1,,1,,9,,
University of Minnesota,Urban and Regional Planning,N,,Y,Y,N,Y,6,,,1,,1,,1,,,,,1*,,1,,1,,,,1,,,,,,,,,6,-2,*Social service
,,,,,,,,,,,1,,1,,1,,,,1,1,,,,1,,,,,,,,,1,,1,,8,,
Université De Montréal ,urbanisme,"The web site is in France, I cannot understand",,,,,,No information in the Book,,,,,,,1,,,,1*,,1,,,,,,,,,,1,,,,,,3,3,* Housing and land development strategies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in book
University of Nebraska-Lincoln,Community and Regional Planning,N,,Y,Y,N,N,7,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,,,4,-1,
,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,1,,,,5,,
University of New Mexico,Community and Regional Planning,Y,Community Growth and Land Use Planning (580),Y,Y,N,N,8,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,,4,2,
,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,
University of New Orleans,Urban and Regional Planning,Y,Urban Land Use Planning & Plan Making (URBN 4050),N,,,N,9,,,1,,,,1,,1,1,1,,,,,1,,,,,1,,,,1,,,,8,2,Other: Recreation planning
,,,,,,,,,,,1,,1,,1,,,1,1,,,,,1,,,,,,,,,,,,,6,,
The University of North Carolina at Chapel Hill,Regional Planning,Y,Land Use and Environmental Planning (241),Y,Y,N,N,15,,,1,,1,,1,1,,,1,,,1,,1,,,,,,1,,,,,,,8,1,Other: Coastal management
,,,,,,,,,,,1,,1,,1,,,,1,,,,,,1,,,,,1,,,1,,,,7,,"Other: Coastal management, development finance"
University of Oklahoma,Regional and City Planning,N,,Y,Y,Y,Y,5,,,1,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,6,1,
,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,1,,5,,
University of Oregon,community and regional planning,"N (I can only find the course information for spring, 2002)",,N,,,N,9,,,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,,4,-4,
,,,,,,,,,,,1,,1,,1,1,,1,,,,,,,1,,,,1,,,1,,,,,8,,
University of Pennsylvania,City Planning,Y,Land Use Planning: Principles and Practice (585),Y,Y,N,Y,14,,,1,,,,,,1,1,1,,,,,1,1,,,,,,,,1,,1,,8,-2,
,,,,,,,,,,,1,,1,,1,,,1,,,1,1,,,1,,1,,,,,,1,,1,,10,,
University of Puerto Rico,Planning,The web site is not in English,,,,,,No information in the Book,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in book
University of Rhode Island,Community Planning,Y,Land Development Seminar (545),Y,Y,Y,N,5,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,3,-4,
,,,,,,,,,,,1,,,,1,,,,1,1,,,,1,,,1,,,,,,,,1,,7,,"the specialization are: Environmental and land use planning, urban design and physical planning, housing and community development, and social planning"
University of Southern California,Planning,N,,Y,Y,N,N,17,,,1,,1,,,,,,1,,,1,,1,,1,,,,1,,,1,,1,,9,1,
,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,1,1,,,1,,1,1,8,,
"University of Tennessee, Knoxville",Planning,N,,Y,Y,Y,N,5,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,3,-1,Other: Analytical methods in planning
,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,4,,
University of Texas at Arlington,City and Regional Planning,N,,N,,,N,5,,,1,1,1,,1,,1,,1,1,,1,,1,1,,,,,1,1,,1,,1,1,14,3.9000000000000004,
,,,,,,,,,,1,,1,1.1,,1,,1,,,1,,1,,,,,1,,1,,,,1,,,,10.1,,
The University of Texas at Austin,Community and Regional Planning,Y,PLAN FOR LAND DEVELOPMENT (CRP 389C),Y,Y,Y,N,7,,,,,1,,1,,,,1,,1,,,1,,,,,,,,,,,1,,6,-3,
,,,,,,,,,,,1,,1,,1,,,1,1,,1,,,,1,,,,,1,,,1,,,,9,,
University of Virginia,Urban and Environmental Planning,Y,Land Use Policy and Planning (PLAN 560),N,,,Y,8,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,1*,4,0,* Urban development
,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,1,,4,,
University of Washington,Urban Planning,Y,Land Use (UrbDP 465),Y,N,Y,Y,10,,1,,,,1,1,,1,1,,,,,,1,1,,1,,1,1,,,1,,1,,12,2,"Other: coastal planning, "
,,,,,,,,,,,1,,,,1,,1,1,,,,,,,1,,1,,1,1,,,1,,1,,10,,
University of Wisconsin-Madison,Urban and Regional Planning,Y,Land Use Policy and Planning (843),N,,,Y,12,,,,,1,,,,,,1,1,,,,1,1,,,,,,,1,,,,,6,-2,Other: generalist planning
,,,,,,,,,,,1,,1,,1,1,1,,,,,1,,,1,,,,,,,,,,1,,8,,
University of Wisconsin-Milwaukee,Urban Planning,Y,Land Use Planning Practice (UrbPlan 651),Y,Y,Y,N,8,,,1,1,1,,1,1,1,,1,,,1,,1,1,,1,,1,,,,1,,1,1*,14,7, * Urban development
,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,1,,,1,,,1,,,,7,,
Virginia Commonwealth University,Urban and Regional Planning,Y,Land Use Planning (URSP 628),Y,Y,N,N,8,,,1,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,6,0,Other: Urban revitalization
,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,1,1,,,,,,,,,6,,
Virginia Polytechnic Institute and State University,Urban and Regional Planning,Y,LAND USE PLANNING (5304),Y,Y,Y,N,10,,,1,,,,1,,,,1,1,,1,,,,,1,,,,,,,,,,6,-3,
,,,,,,,,,,,,,1,,1,1,1,,,,,1,,,1,,1,,1,1,,,,,,,9,,
Wayne State University,Urban Planning,N,,Y,Y,N,N,5,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,-1,
,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalhousie University,Rural Urban Planning,N,,N,,,"Y (The name is transportation plannign, but it exmines the relationship between lans use and transportation)",3 (in the book it is Dalhousie Tech),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-6,No information in the book
,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,1,,,1,1,6,,
McGill University,Urban Planning,N,,N,,,Y,5,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,1,,4,0,
,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,4,,
Nova Scotia College of Art and Design,No master program,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No master program
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No master program
Queen’s University,Urban and Regional Planning,Y,Land Use Planning (SURP-840),N,,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5,No information in the book
,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,,,,,5,,
Ryerson Polytechnic University ,No master program,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No master program
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No master program
University of British Columbia,Community and Regional Planning,N,,N,,,N,8,,,1,,,1,1,,,,,,,1,,,,,1,,1,1,,,,,1,1*,8,4, * Urban development
,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,,4,,
University of Calgary,Environmental Design,N,,N,,,N,8,,,1,,,,,,,1,1,,,1,,,,,,,1,,,,,,1,,6,-4,Other sustainable development
,,,,,,,,,,,1,,,,1,,1,1,,,,1,,,,1,1,,1,,,1,,,1,1,10,,Other: Tourism/Recreation
University of Guelph ,Rural Planning & Development,N,,N,,,N,8,,,1,,1,,1,,1,,,,,,,1,,,,,1,1,,,1,,1,1*,9,-2,* Urban development
,,,,,,,,,,,1,,1,,1,,1,1,,1,1,1,,,1,,1,1,,,,,,,,,11,,
Université Laval,The web site is in Franch,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
University of Manitoba,City Planning,N,,Y,Y,"N (instructed by Civil Engineering staff, but not offered in the department of civil engineering)",N,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
Université de Montréal ,The web site is in Franch,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
University of Northern British Columbia,No master program,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No master program
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No master program
University of Ottawa ,Cannot find the program on the web,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
Université du Quebec à Montréal,The web site is in Franch,,,,,,,No information in the book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
University of Saskatchewan,No master program,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No master program
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No master program
University of Waterloo,Regional Planning and Resource Development,N,,Y,Y,N,N,No information in the book,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,other: resource development
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
University of Windsor ,No master program,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,No information in the book
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No information in the book
York University,Environmental Studies,N,(there is a course about land use planning),N,,,N,10,,,1,,,1,1,,,,1,1,,1,,,,,,1,1,,1,,,,1,1,10,-2,"Other: Action learning, biological conservation, communication, advocacy and social change, cooperative management, impact assessment, native/Candian relations, nothern studies, quality of working life, tropical environment, woman and environments."
,,,,,,,,,,,1,,1,,1,,1,1,,1,,1,,,1,,1,1,1,,,1,,,,,12,,
