,,,,,,,,,,,,,,,,,,
Topics,Washington,Minnesota,Minnesota II,Portland State,UCLA,Berkeley,McGill,Oklahoma,Upenn,Wisc,Rutgers,Oreg,FSU,Michigan,Penn,Albany,Ga Tech,UT Arlington
,,,,,,,,,,,,,,,,,,
Transportation: Key Concepts and Trends,1,,,,,,,,,,,,,,,,,
Land Use and Transportation: Key Concepts and Trends,1,,,,,,,,,,,,,,,,,
Federal Transportation Policy,1,,,,,,,,,,,,,,,,,
State and Regional Growth Management Policy,1,,,,,,,,,,,,,,,,,
"Policy Issues: Complexity, Competition, Integration",1,,,,,,,,,,,,,,,,,
Expand Road Capacity,1,,,,,,,,,,,,,,,,,
Manage Travel Demand and Reform Transportation Pricing,1,,,,,,,,,,,,,,,,,
Limit Urban Sprawl,1,,,,,,,,,,,,,,,,,
Encourage Neo-traditional Development ,1,,,,,,,,,,,,,,,,,
Transportation and Growth Management Policy in the Central Puget Sound,1,,,,,,,,,,,,,,,,,
Evaluating Alternatives and Measuring Performance,1,,,,,,,,,,,,,,,,,
The State Legislature and the Blue Ribbon Commission on Transportation,1,,,,,,,,,,,,,,,,,
Focus on Seattle,1,,,,,,,,,,,,,,,,,
Focus on the East Side,1,,,,,,,,,,,,,,,,,
Link Light Rail,1,,,,,,,,,,,,,,,,,
The I-405 Corridor Program,1,,,,,,,,,,,,,,,,,
The Trans-Lake Washington Study,1,,,,,,,,,,,,,,,,,
The Monorail,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Introduction - The transportation/land use connection,,,,1,,,,,,,,,,,,,,
The economics of land use and transportation,,,,1,,,,,,,,,,,,,,
"Characteristics and determinants of travel demand, methods of travel demand forecasting",,,,1,,,,,,,,,,,,,,
Models of transportation and urban structure,,,,1,,,,,,,,,,,,,,
The role of transit in urban transportation activities,,,,1,,,,,,,,,,,,,,
Jobs-housing imbalances as a transportation-mobility problem,,,,1,,,,,,,,,,,,,,
Regional transportation planning impacts,,,,1,,,,,,,,,,,,,,
International transportation planning perspectives,,,,1,,,,,,,,,,,,,,
Physical planning versus market controls: The debate,,,,1,,,,,,,,,,,,,,
Social issues and equity considerations,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Introduction to Themes and Debates,,,,,1,,,,,,,,,,,,,
Where go where? The Demand for Travel,,,,,1,,,,,,,,,,,,,
The Impact of Transportation on Urban Form,,,,,1,,,,,,,,,,,,,
The Impact of Urban on Travel: Stoties,,,,,1,,,,,,,,,,,,,
The Impact of Urban Form on Travel: Studies,,,,,1,,,,,,,,,,,,,
Transit-Oriented Development,,,,,1,,,,,,,,,,,,,
Accessibility and Jobs-Housing Balance,,,,,1,,,,,,,,,,,,,
The Regulatory Apparatus and Implementation Issues,,,,,1,,,,,,,,,,,,,
"Case Studies: Portland, LA, and San Diego",,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Overview of transportation-Land use Relationships: Retrospective and Prospective,,,,,,1,,,,,,,,,,,,
Contemporary Themes and Debates,,,,,,1,,,,,,,,,,,,
Introduction/Background,,,,,,1,,,,,,,,,,,,
"Debate: ""Smart Growth"": Sprawl vs. Compact City",,,,,,1,,,,,,,,,,,,
Debate: Does the Tranportation-Land Use Connection Matter?,,,,,,1,,,,,,,,,,,,
Other General Background,,,,,,1,,,,,,,,,,,,
History,,,,,,1,,,,,,,,,,,,
Looking to the Future,,,,,,1,,,,,,,,,,,,
INSTITUTIONAL/REGIONAL CONTEXT FOR MOBILITY PLANNING,,,,,,1,,,,,,,,,,,,
Governance and Regional Transportation Planning,,,,,,1,,,,,,,,,,,,
Transport Planning Process,,,,,,1,,,,,,,,,,,,
Legislation: TEA‑21; New FTA Policy; SB‑45,,,,,,1,,,,,,,,,,,,
TRAVEL DEMAND,,,,,,1,,,,,,,,,,,,
Characteristics of Travel,,,,,,1,,,,,,,,,,,,
Techniques of Travel Demand Forecasting,,,,,,1,,,,,,,,,,,,
Induced & Reduced Demand,,,,,,1,,,,,,,,,,,,
Measuring Accessibility,,,,,,1,,,,,,,,,,,,
URBAN TRANSPORTATION PERFORMANCE ,,,,,,1,,,,,,,,,,,,
Urban Transportation Systems: The Supply and Cost Sides,,,,,,1,,,,,,,,,,,,
Evaluating Performance: Long-Term Investment Thresholds,,,,,,1,,,,,,,,,,,,
Evaluating Performance: Short-Term Responses,,,,,,1,,,,,,,,,,,,
TRANSPORTATION-LAND USE THEORY,,,,,,1,,,,,,,,,,,,
MODELS OF TRANSPORTATION AND URBAN STRUCTURE,,,,,,1,,,,,,,,,,,,
TRANSPORT'S IMPACTS ON LAND USE AND URBAN FORM,,,,,,1,,,,,,,,,,,,
Land Use Impacts of Urban Rail and Busway Systems,,,,,,1,,,,,,,,,,,,
"Road‑Based Transport: Highways, Beltways, ITS, and Neighborhood Traffic Calming",,,,,,1,,,,,,,,,,,,
THE BUILT ENVIRONMENT AND TRANSPORT ,,,,,,1,,,,,,,,,,,,
Site Design Principles,,,,,,1,,,,,,,,,,,,
"New Urbanism, Traditional Neighborhoods, and Travel",,,,,,1,,,,,,,,,,,,
"Density, Land-Use Mixing, and Travel & Environment",,,,,,1,,,,,,,,,,,,
Traffic Calming,,,,,,1,,,,,,,,,,,,
TRANSIT‑ORIENTED DESIGNS: IMPACTS AND FINANCE,,,,,,1,,,,,,,,,,,,
Transit-oriented and Transit Village Development,,,,,,1,,,,,,,,,,,,
Transit Joint Development and Finance,,,,,,1,,,,,,,,,,,,
"REGIONAL CONTEXT: GROWTH, JOBS‑HOUSING BALANCE, AND TRAVEL",,,,,,1,,,,,,,,,,,,
CASE STUDIES,,,,,,1,,,,,,,,,,,,
"Portland, Oregon",,,,,,1,,,,,,,,,,,,
Southern California,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Introduction; course overview,,,,,,,,1,,,,,,,,,,
"Economic activity, land use, and transportation",,,,,,,,1,,,,,,,,,,
Effects of public policy on land use and transportation,,,,,,,,1,,,,,,,,,,
"Traffic, transportation, and land use problems in Norman",,,,,,,,1,,,,,,,,,,
Current land use and transportation conditions in American cities,,,,,,,,1,,,,,,,,,,
Managing travel demand through non-land use strategies,,,,,,,,1,,,,,,,,,,
Managing travel demand through land use strategies,,,,,,,,1,,,,,,,,,,
congestion management,,,,,,,,1,,,,,,,,,,
Congestion pricing,,,,,,,,1,,,,,,,,,,
Site development and design considerations,,,,,,,,1,,,,,,,,,,
Regional transportation and land use issues,,,,,,,,1,,,,,,,,,,
Transportation and urban form,,,,,,,,1,,,,,,,,,,
traffic calming,,,,,,,,1,,,,,,,,,,
Neotraditional neighborhood design,,,,,,,,1,,,,,,,,,,
Access management ,,,,,,,,1,,,,,,,,,,
Traffic impact studies,,,,,,,,1,,,,,,,,,,
 Term project presentations,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
The Framework of Urban Land Use and Urban Transportation Planning ,,,,,,,,,1,,,,,,,,,
The New Era in Urban Transportation and Land Use Planning,,,,,,,,,1,,,,,,,,,
Major Federal Legislation in Place,,,,,,,,,1,,,,,,,,,
The Role of the States in Land Use Planning and Transportation Planning,,,,,,,,,1,,,,,,,,,
The New Initiatives in Urban Transportation,,,,,,,,,1,,,,,,,,,
The Ridership Initiatives in Urban Transit,,,,,,,,,1,,,,,,,,,
Examination of European and Japanese Service and Ridership Successes,,,,,,,,,1,,,,,,,,,
The Cases of New Technology in Urban Mass Transit,,,,,,,,,1,,,,,,,,,
Planning for TODs,,,,,,,,,1,,,,,,,,,
Special Districts and the Transit Potential,,,,,,,,,1,,,,,,,,,
Privatization Experiments in Mass Transit ,,,,,,,,,1,,,,,,,,,
“Car Sharing” Experimentations,,,,,,,,,1,,,,,,,,,
The “Intelligent Highway” and its Potential,,,,,,,,,1,,,,,,,,,
New Design of Hwy Facilities,,,,,,,,,1,,,,,,,,,
Non-Motorized Transportation,,,,,,,,,1,,,,,,,,,
Class Debate: The Future of TOD and the Future of Mass Transit,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Overview of Course,,,,,,,,,,1,,,,,,,,
Sprawl vs. Compact Development,,,,,,,,,,1,,,,,,,,
Performance Measurement,,,,,,,,,,1,,,,,,,,
Community Design,,,,,,,,,,1,,,,,,,,
Pedestrian- and Transit-Friendly Design,,,,,,,,,,1,,,,,,,,
Context-Sensitive Street Design,,,,,,,,,,1,,,,,,,,
Land Use Impacts on Travel ,,,,,,,,,,1,,,,,,,,
Transportation Impacts on Land Use,,,,,,,,,,1,,,,,,,,
Land Use and Travel Modeling,,,,,,,,,,1,,,,,,,,
Regional Growth Management,,,,,,,,,,1,,,,,,,,
Computer Lab Exercise,,,,,,,,,,1,,,,,,,,
Presentation of Final Projects,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,
Course Overview,,,,,,,,,,,1,,,,,,,
Early Determinants of Form and the Monocentric City,,,,,,,,,,,1,,,,,,,
"Social, Environmental, and Technological Forces of Decentralization",,,,,,,,,,,1,,,,,,,
Rise of the Automobile and the Suburban Ideal,,,,,,,,,,,1,,,,,,,
The Garden City and the Modern Movement in Planning,,,,,,,,,,,1,,,,,,,
Government Subsidy and Zoning Regulations,,,,,,,,,,,1,,,,,,,
The Role of Race and Culture,,,,,,,,,,,1,,,,,,,
Market Forces,,,,,,,,,,,1,,,,,,,
 Characteristics of Congestion,,,,,,,,,,,1,,,,,,,
Empirical Work on Land Use and Transportation,,,,,,,,,,,1,,,,,,,
 Introduction to Air Quality and Meteorology,,,,,,,,,,,1,,,,,,,
Tropospheric Ozone,,,,,,,,,,,1,,,,,,,
Global and Regional Climate Change,,,,,,,,,,,1,,,,,,,
"Empirical Work on Land Use, Transportation, and Air Qualit",,,,,,,,,,,1,,,,,,,
Social Capital,,,,,,,,,,,1,,,,,,,
Design and Community,,,,,,,,,,,1,,,,,,,
Dimensions of Development Field Trip,,,,,,,,,,,1,,,,,,,
Supply-Side Approaches,,,,,,,,,,,1,,,,,,,
Demand-Side Approaches & Telecommunications,,,,,,,,,,,1,,,,,,,
Design-Based Approaches,,,,,,,,,,,1,,,,,,,
Designing for Transit and the Pedestrian,,,,,,,,,,,1,,,,,,,
Hybrid Transit Systems and Strong Core Cities,,,,,,,,,,,1,,,,,,,
Adaptive Transit Systems and North American Case Studies,,,,,,,,,,,1,,,,,,,
Growth Management through the Transportation Planning Process,,,,,,,,,,,1,,,,,,,
Smart Growth Legislation and Case Studies,,,,,,,,,,,1,,,,,,,
On the Horizon: An Ecological Approach to Urban Planning,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,
Course Introduction,,,,,,,1,,,,,,,,,,,
Introduction to the linkages between transportation and land,,,,,,,1,,,,,,,,,,,
development,,,,,,,1,,,,,,,,,,,
Urban activity systems,,,,,,,1,,,,,,,,,,,
Introduction to macro models of transportation and land use,,,,,,,1,,,,,,,,,,,
Transport Pricing and Land Use: Implications and Remedies,,,,,,,1,,,,,,,,,,,
The market and non-market costs of motor vehicle ownership and use,,,,,,,1,,,,,,,,,,,
"Transport pricing; externalisation of costs, and how this influences, land use and travel behaviour; implications for the use and viability of,and provision of infrastructure for, transit and non-motorised modes;""vicious circles""; implications for transport impacts, particularly, congestion, energy consumption, air pollution and equity",,,,,,,1,,,,,,,,,,,
"Turning vicious"" into ""virtuous"" circles through full-cost pricing",,,,,,,1,,,,,,,,,,,
Land Rents and Land Use,,,,,,,1,,,,,,,,,,,
"Land rents, fertility, and accessibility",,,,,,,1,,,,,,,,,,,
Bid-rent functions,,,,,,,1,,,,,,,,,,,
Location decisions of firms and households,,,,,,,1,,,,,,,,,,,
Land Rents and General Equilibrium Land Use,,,,,,,1,,,,,,,,,,,
Tradeoff between land and commuting costs,,,,,,,1,,,,,,,,,,,
Estimation of land rent and population density functions,,,,,,,1,,,,,,,,,,,
"Numerical Examples of General Equilibrium from increase in exports, and installation of a new street car system",,,,,,,1,,,,,,,,,,,
"Suburbanisation, Zoning and Land Use Controls",,,,,,,1,,,,,,,,,,,
"Suburbanization of population, office, manufacturing, and retail",,,,,,,1,,,,,,,,,,,
 Suburban sub-centres,,,,,,,1,,,,,,,,,,,
Nine causes of urban sprawl,,,,,,,1,,,,,,,,,,,
Land-use zoning,,,,,,,1,,,,,,,,,,,
Urban Transportation Planning,,,,,,,1,,,,,,,,,,,
Regression and trip rate models,,,,,,,1,,,,,,,,,,,
Trip Distribution Modeling,,,,,,,1,,,,,,,,,,,
Entropy Maximisation and Gravity models,,,,,,,1,,,,,,,,,,,
Urban Transportation Planning,,,,,,,1,,,,,,,,,,,
Mode Choice Modelling,,,,,,,1,,,,,,,,,,,
Discrete choice models and Utility Maximisation,,,,,,,1,,,,,,,,,,,
Traffic Assignment Modelling,,,,,,,1,,,,,,,,,,,
User-equilibrium models in large networks,,,,,,,1,,,,,,,,,,,
Traffic Impact Studies,,,,,,,1,,,,,,,,,,,
Guidelines for traffic impact studies,,,,,,,1,,,,,,,,,,,
A detailed review of actual traffic impact studies,,,,,,,1,,,,,,,,,,,
Transit Supportive Land Use Development Guidelines,,,,,,,1,,,,,,,,,,,
Review of best practices and guidelines for Transit Supportive Land,,,,,,,1,,,,,,,,,,,
Use Development Guidelines,,,,,,,1,,,,,,,,,,,
A review of integrated transportation-land use models,,,,,,,1,,,,,,,,,,,
Design considerations for integrated models,,,,,,,1,,,,,,,,,,,
"Review of models, e. g. ILUTE, MUSSA and Urbansim",,,,,,,1,,,,,,,,,,,
A critique of integrated transportation-land use models,,,,,,,1,,,,,,,,,,,
 Limitations of integrated models,,,,,,,1,,,,,,,,,,,
Operational limitations and complexity: Math for math's sake,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Introduction to Transportation and Land Use Planning,,,,,,,,,,,,,,1,,,,
Transportation and Urban Change: Planning Responses,,,,,,,,,,,,,,1,,,,
Transportation Planning Evolution,,,,,,,,,,,,,,1,,,,
Demographic Trends and Systems of Cities,,,,,,,,,,,,,,1,,,,
Location within Metropolitan Areas,,,,,,,,,,,,,,1,,,,
Travel Supply and Demand Characteristics,,,,,,,,,,,,,,1,,,,
Trip Generation/Distribution,,,,,,,,,,,,,,1,,,,
Mode Choice,,,,,,,,,,,,,,1,,,,
Network Assignment,,,,,,,,,,,,,,1,,,,
"Network Assignment, Modeling Critique",,,,,,,,,,,,,,1,,,,
Transportation and Metropolitan Form,,,,,,,,,,,,,,1,,,,
Transportation Pricing,,,,,,,,,,,,,,1,,,,
Public Transit Policy,,,,,,,,,,,,,,1,,,,
Energy/Environment and Transportation,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,
Overview of the course,,1,,,,,,,,,,,,,,,,
Rationales for zoning and planning,,1,,,,,,,,,,,,,,,,
Understanding activity patterns and trends,,1,,,,,,,,,,,,,,,,
Understanding travel behavior and trends,,1,,,,,,,,,,,,,,,,
Hierarchies of government and regionalism,,1,,,,,,,,,,,,,,,,
Growth management: overview,,1,,,,,,,,,,,,,,,,
"Growth management: The case of Montgomery County, MD",,1,,,,,,,,,,,,,,,,
Tax Base Sharing (guest: Myron Orfield),,1,,,,,,,,,,,,,,,,
Financing local transportation infrastructure,,1,,,,,,,,,,,,,,,,
Non-motorized transportation,,1,,,,,,,,,,,,,,,,
Transportation standards and site design,,1,,,,,,,,,,,,,,,,
Transportation demand management and land use,,1,,,,,,,,,,,,,,,,
Transportation systems management and land use,,1,,,,,,,,,,,,,,,,
Role of parking,,1,,,,,,,,,,,,,,,,
The influence of transportation infrastructure on urban form and travel demand,,1,,,,,,,,,,,,,,,,
Lab and class: integrating practice and theory,,1,,,,,,,,,,,,,,,,
A user’s perspective on land use-transportation modeling,,1,,,,,,,,,,,,,,,,
"Wrestling with sprawl, part 1",,1,,,,,,,,,,,,,,,,
Sprawl and density 2,,1,,,,,,,,,,,,,,,,
"Jobs-housing balance and spatial mismatch, part 1",,1,,,,,,,,,,,,,,,,
"Jobs-housing balance and spatial mismatch, part 2",,1,,,,,,,,,,,,,,,,
New urbanism as a land use-transportation planning strategy,,1,,,,,,,,,,,,,,,,
"New town planning: case study of Columbia, MD",,1,,,,,,,,,,,,,,,,
Developer’s perspective in land use-transportation planning,,1,,,,,,,,,,,,,,,,
Social Networks,,1,,,,,,,,,,,,,,,,
"Debates surrounding light rail transit, part 1: in theory",,1,,,,,,,,,,,,,,,,
"Debates surrounding light rail transit, part 2: in Minneapolis",,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Land Use Planning: An Overview,,,,,,,,,,,,,1,,,,,
Transportation Planning: An Overview,,,,,,,,,,,,,1,,,,,
The Relation Between Transportation and Land Use:  An Overview,,,,,,,,,,,,,1,,,,,
Transportation Systems Components,,,,,,,,,,,,,1,,,,,
Micro-level Impact of Land Use on Transportation,,,,,,,,,,,,,1,,,,,
Impact of Land Use on Road Network:  Traffic Impact Study,,,,,,,,,,,,,1,,,,,
Impact of Land Use on Transit,,,,,,,,,,,,,1,,,,,
"Macro-level Impact of Land Use on Transportation - I, Urban Spatial Structure and Commuting",,,,,,,,,,,,,1,,,,,
"Macro-level Impact of Land Use on Transportation - II, Urban Spatial Structure and Energy Use",,,,,,,,,,,,,1,,,,,
"Land Use - Transportation Integrated Models,",,,,,,,,,,,,,1,,,,,
"Accessibility, Mobility, and Intelligent Transportation",,,,,,,,,,,,,1,,,,,
"Impact of Transportation Systems on Land Use and Economy - I, Impact of Infrastructure on Economic Growth, Impact of Highways - I",,,,,,,,,,,,,1,,,,,
" Impact of Transportation on Land Use and Economy - II, Impact of Highways - II, Impact of Transit",,,,,,,,,,,,,1,,,,,
Impact of Transportation on the Environment,,,,,,,,,,,,,1,,,,,
Role of Transportation in Containing Spatial Mismatch,,,,,,,,,,,,,1,,,,,
mpact of Neotraditional Planning on Travel: Critical Issues,,,,,,,,,,,,,1,,,,,
Impact of Jobs-Housing Balance on Travel:  Critical Issues,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,
OVERVIEW & CLASS PRESENTATIONS,,,,,,,,,,,,1,,,,,,
HOW TRANSPORTATION SYSTEMS AND LAND USE WOULD DEVELOP IN A WORLD WITHOUT PLANNERS,,,,,,,,,,,,1,,,,,,
HOW TRANSPORTATION SYSTEMS AND LAND USE MIGHT DEVELOP WHEN PLANNERS ADD POLICIES,,,,,,,,,,,,1,,,,,,
A CONTEXT FOR EFFICIENT TRANSPORTATION AND LAND-USE POLICY: FULL-COST PRICING AND CONGESTION PRICING,,,,,,,,,,,,1,,,,,,
SECOND BEST TRANSPORTATION POLICY OPTIONS: TRANSPORTATION SYSTEM MANAGEMENT & TRANSIT,,,,,,,,,,,,1,,,,,,
SECOND BEST TRANSPORTATION POLICY OPTIONS: DEMAND MANAGEMENT AND LAND-USE POLICIES,,,,,,,,,,,,1,,,,,,
A FRAMEWORK FOR EVALUATING TRANSPORTATION PROJECTS AND POLICY,,,,,,,,,,,,1,,,,,,
OVERVIEW OF THE STATE OF THE ART FOR TRANSPORTATION POLICY,,,,,,,,,,,,1,,,,,,
"CREATING COORDINATED, REGIONAL LAND USE AND TRANSPORTATION POLICY",,,,,,,,,,,,1,,,,,,
PRESENTATIONS OF THE RESULTS OF STUDENT PAPERS,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,
Introduction - Urban Transportation Problems,,,,,,,,,,,,,,,,,,1
Urban Transportation Modeling Process: An Overview,,,,,,,,,,,,,,,,,,1
Data Collection and Analysis Techniques: Origin-Destination Surveys,,,,,,,,,,,,,,,,,,1
Land Use Modeling,,,,,,,,,,,,,,,,,,1
Land Use Modeling II,,,,,,,,,,,,,,,,,,1
Trip Generation Models,,,,,,,,,,,,,,,,,,1
Trip Distribution Models,,,,,,,,,,,,,,,,,,1
Mode Choice Models,,,,,,,,,,,,,,,,,,1
Traffic Assignment Models and System Evaluation,,,,,,,,,,,,,,,,,,1
Wrap-up Discussion,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,
Economic Base Analysis:  Stages of growth approach (W. Thompson); theory and applications; strengths and weaknesses.,,,1,,,,,,,,,,,,,,,
The “Minimum Requirements Approach” to estimating the urban economic base.  Use of “Location Quotients.”,,,1,,,,,,,,,,,,,,,
"A critique of Shift-Share analysis. ""Industry mix effects"" and ""Local industry growth effects."" What is revealed; what is hidden.",,,1,,,,,,,,,,,,,,,
The input-output model of the metropolitan economy.  Application of the model.  The multiplier effect.,,,1,,,,,,,,,,,,,,,
Measuring environmental impacts of economic activity with input-output analysis.,,,1,,,,,,,,,,,,,,,
Transactions and information feedback flows in the economic life of cities,,,1,,,,,,,,,,,,,,,
Faulty feedback; “transactions of decline.” ,,,1,,,,,,,,,,,,,,,
Growth pole theory; transportation implications for successful growth poles.,,,1,,,,,,,,,,,,,,,
The U.S. service economy: how it works; measuring value added in services; disdain for the doing of useful work; why service industries often fail to serve.,,,1,,,,,,,,,,,,,,,
Colin Clark's “distance-density decay” model of urban residential structure.,,,1,,,,,,,,,,,,,,,
"Measuring change in residential density gradients, over time and sector by sector.  Why the differences?  Theorems of intra-urban growth and structure.",,,1,,,,,,,,,,,,,,,
William Alonso's theory of urban residential density,,,1,,,,,,,,,,,,,,,
"Land values, land markets, and land uses; traditional land use theory; criticisms of traditional land use theory; contemporary land value surfaces.",,,1,,,,,,,,,,,,,,,
"Descriptive models of urban structure, local and regional.  Central Place Theory.",,,1,,,,,,,,,,,,,,,
Toward a typology of urban land use; zoning.,,,1,,,,,,,,,,,,,,,
Principles of classification.  The method of numerical taxonomy.,,,1,,,,,,,,,,,,,,,
Formal social regions.  Their definition and use in analyzing population and housing in urban areas.,,,1,,,,,,,,,,,,,,,
"Mapping generic regions, with and without contiguity constraints.",,,1,,,,,,,,,,,,,,,
Transportation as a service; transportation as a land shaper,,,1,,,,,,,,,,,,,,,
Freeways and suburban development; highway planning.,,,1,,,,,,,,,,,,,,,
Forecasting land use and travel.,,,1,,,,,,,,,,,,,,,
Transportation investment priorities; substitution of communication for transportation;  air cargo; metropolitan rank analysis.,,,1,,,,,,,,,,,,,,,
Understanding the transportation land use connection.,,,1,,,,,,,,,,,,,,,
Relation between development and transportation infrastructure,,,1,,,,,,,,,,,,,,,
Congestion and congestion pricing.,,,1,,,,,,,,,,,,,,,
Regulatory processes and the takings issue; property rights movement;  location of obnoxious facilities.,,,1,,,,,,,,,,,,,,,
Local government finance and the development process; local government financing of redevelopment through tax increment finance (TIF).,,,1,,,,,,,,,,,,,,,
"Development impact costs and fees; environmental justice, development and urban redevelopment.",,,1,,,,,,,,,,,,,,,
Transportation and environmental policy; transit planning; costs and benefits of growth and change.  Land use and transportation planning frameworks for the Twin Cities; the sprawl debate and “Smart Growth.”,,,1,,,,,,,,,,,,,,,
