Total,,Title of reading,Author,Source,University of Washington,University of Minnesota,Portland State,UCLA,Berkeley,Michigan,Oreg,FSU,WISC,McGill,Rutgers,Oklahoma
6,,The Weakening Transportation-Land Use Connection,"Giuliano, Genevieve","Access, 6.",1,1,,1,1,,,1,,,1,
5,,Jobs-Housing Balance Revisited: Trends and Impacts in the San Francisco Bay Area,"Cervero, R.",Journal of American Planning Association,,1,,1,1,1,,1,,,,
4,,Travel by Design,"Crane, R. ",Access 12,,,,1,1,1,1,,,,,
4,,Access to Choice,"Levine, J.",Access,,1,,1,1,1,,,,,,
3,,Land use and transportation planning in response to congestion problems: A review and critique,"Deakin, Elizabeth",Transportation Research Record,,,1,1,1,,,,,,,
3,,The Transportation-Land Use Connection Still Matters,"Cervero, Robert and John Landis","Access, 7",1,,,1,,,,,,,1,
3,,The Political Context of Transportation Policy,Martin Wachs,The Geography of Transportation,1,,,1,1,,,,,,,
3,,Are Compact Cities a Desirable Planning Goal?,"Gordon, Peter and Harry Richardson",Journal of the American Planning Association,1,1,,1,,,,,,,,
3,,Is Los Angeles-Style Sprawl Desirable?,"Ewing, Reid",Journal of the American Planning Association,1,,,,1,,,,,,1,
3,,Can Land-Use Policy Really Affect Travel?,"Boarnet, Marlon and Sharon Sarmiento",Urban Studies,1,1,,,1,,,,,,,
3,,Why Go Anywhere?,"Cervero, R.",Scientific American,,1,,1,1,,,,,,,
3,,Middle-age sprawl: BART and urban development,"Landis, J. and R. Cervero",Access 14,,1,,1,1,,,,,,,
3,,Transito-focused development and light rail systems: the lite connection,"Porter, D.",Transportation Research Record 1305,,,,1,1,,,,,1,,
3,,Rail Transit and Joint Development: Land Market Impacts in Washington D.C. and Atlanta,"Cervero, Robert",Journal of the American Planning Association,,1,,,1,,,1,,,,
3,,Best Development Practices,"Ewing, Reid",Best Development Practices: Doing the Right Thing and Making It at the Same Time,,1,,,1,,,,,,1,
3,,Is Jobs-Housing Balance a Transportation Issue?,"Giuliano, G.",Transportation Research Record,,,,,1,1,,1,,,,
2,,The Geography of Urban Transportation,"Hanson, Susan.",The Geography of Urban Transportation,1,,1,,,,,,,,,
2,,Jobs-housing balancing and regional mobility,"Cervero, Robert",Journal of the American Planning Association,,,1,,,,,1,,,,
2,,New directions for understanding transportation and land use,"Giuliano, Genevieve",Environment and Planning,,,1,,1,,,,,,,
2,,Our Nation's Travel: 1995 NTPS Early Results Report,Our Nation's Travel: 1995 NTPS Early Results Report,http://www-cta.ornl.gov/npts/1995/Doc/index.shtml,1,,,1,,,,,,,,
2,,Transportation and Land Use,"Pickrell, Don", Transportation Economics and Policy,1,,,,,,,,,1,,
2,,"Urban Transportation Planning in the United States, ch 11-14, p 9 and 18, pp30-33(Highway Act of 1956), pp69-74(NEPA), pp81-83, 93-97 (Mass Transit)","Weiner, Ed",Urban Transportation Planning in the United States,1,,,,1,,,,,,,
2,,Do Highways Matter?,Boarnet/Brookings,Do Highways Matter?,1,,,1,,,,,,,,
2,,"Sustainability and Cities: Overcoming Automobile Dependence, Chapter 2","Newman, Peter and Jeffrey Kenworthy",Sustainability and Cities: Overcoming Automobile Dependence,1,,,,,,,,1,,,
2,,"Research on Pro-Sprawl Players and Messages, Chapter 2 pp.9-15 in Traffic Calming",Sprawl Watch Clearinghouse. 2000,Research on Pro-Sprawl Players and Messages. www.sprawlwatch.org/communications.html,1,,,1,,,,,,,,
2,,Regional vs. Local Accessibility: Implications for Non-work Travel,"Handy, Susan",Transportation Research Record 1400,1,,,,1,,,,,,,
2,,Seattle Monorail Project,,http://www.elevated.org/,1,,,1,,,,,,,,
2,,Do New Highways Generate Traffic?,"Hansen, M.",Access 7,,,,1,1,,,,,,,
2,,"Land use impacts of transportation investments: highway and transit, ch 13","Giuliano, G.",The Geography of Urban Transportation,,,,1,1,,,,,,,
2,,The relatioship between Transit and Urban Form,"Cervero, R. and S. Seskin","Transit cooperative research program, research results digest",,,,1,1,,,,,,,
2,,The land-use impacts of urban rail transit systems,"Huang, H.",Journal of Planning Literature,,,,1,1,,,,,,,
2,,Light rail transit and urban development,"Cervero, R.",Journal of American Planning Association,,,,1,1,,,,,,,
2,,New highways and conomic growth: rethinking the link,"Boarnet, M.",Access 7,,,,1,1,,,,,,,
2,,Neo-traditional development: the debate,"Handy, S.",Berkeley Planning Journal,,,,1,1,,,,,,,
2,,How Neighborhood Design Affects Travel,"McNally, M.",ITS Review,,,,1,1,,,,,,,
2,,"Neotraditional Town Planning: Cars, Pedestrains, and Transit","Bookout, L.",Urban Land,,,,1,,,,1,,,,
2,,An Evaluation of Neotraditional Design's Social Prescription: Postmodern Placebo or Remedy for Suburban Malaise?,"Audirac, I. and A. Shermyen",Journal of Planning Education and Research,,,,1,1,,,,,,,
2,,Cars and drivers in the new suburbs: linking access to travel in neotraditional planning,"Crane, R",Journal of American Planning Association,,,,1,,,,,1,,,
2,,What happens when mobility-inclined market segments face accessibility-enhancing policies,Salomon I. And P. Mokhtarian,Transportation Research D.,,,,1,1,,,,,,,
2,,"Residential Patterns and Transit, Autodependence and Costs","Holtzclaw, J.",San Francicso: Research Defense Council,,,,1,1,,,,,,,
2,,Rethinking accessibility and jobs-housing balance,"Levine, J.",Journal of American Planning Association,,,,1,1,,,,,,,
2,,Tracking accessibility,"Cervero, R.",Access 11,,,,1,1,,,,,,,
2,,Tracking accessibility: emploument and housing opportunities in the San Francisco Bay Area,"Cervero, R.and T. Rood and B. Appleyard",Environment and Planning A,,,,1,1,,,,,,,
2,,Transport planning for urban area: a retrospective look and future prospects,"Meyer, M.",Journal of Advanced Transportation,,,,1,1,,,,,,,
2,,Federal transportation policy and the role of metropolitan planning organizations,"Lewis, P. and Sprague M.",San Francicso: Public Policy Institute of California,,,,1,1,,,,,,,
2,,Light-rail-transit impacts in portland,"Dueker, K. and M. Bianco",Transportation Research Record,,,,1,1,,,,,,,
2,,Southern California: Transit Villages in the Heartland of the Automobile,"Bernick, M. and R. Cervero",Transit Villages for 21st Century,,,,1,1,,,,,,,
2,,"Learning from Los Angles: Transport, Urban Form, and Air Quality","Wachs, M.",Transportation,,,,1,1,,,,,,,
2,,San Diego: Protecting paradise,"Dunphy, R.",oving Beyond Gridlock: Traffic and Development,,,,1,1,,,,,,,
2,,The Influence of Urban Form on Travel: An Interpretive Review,"Crane, Randall",Journal of Planning Literature,,1,,,1,,,,,,,
2,,"Demographics, Changing Preferences, and Travel","Dunphy, R.","Moving Beyond Gridlock: Traffic and Development, Urban Land Institute",,1,,,1,,,,,,,
2,,Urban Traffic: A Function of Land Use,"Mitchell, R. B. and C. Rapkin",Urban Traffic: A Function of Land Use,,1,,,1,,,,,,,
2,,Operational Urban Models: State-of-the-Art,"Wegener, M.",Journal of the American Planning Association,,1,,,1,,,,,,,
2,,Walkable Suburbs? An Evaluation of Neotraditional Communities at the Urban Edge,"Southworth, Michael",Journal of the American Planning Association,,1,,,,,,,1,,,
2,,There’s no There There: Or Why Neighborhoods Don’t Really Develop Near Light-Rail Transit Stations,"Loukaitou-Sideris, A. and T. Banerjee",Access,,1,,1,,,,,,,,
2,,Are compact cities a dersirable plannin goal?,P. Gordon and H. Richardson,Journal of American Planning Association,,,,,1,,,,,,1,
2,,Reorienting metropolitan land use and transportation policies in the USA,"Atash, F.",Land Use Policy,,,,,1,,,,,1,,
2,,Transportation and Urban Form: Stages in the Spatial Evolution of the American Metropolis,"Muller, Peter O",The Geography of Urban Transportation,,,,,1,1,,,,,,
2,,Beyond Speed: The Next Generation of Transportation Performance Measures,"Ewing, R.",Performance Standards for Growth Management,,,,,1,,,,,,1,
2,,Comprehensive Regional Modeling for Long-Range Planning Linking Integrated Urban Modes and Geographic Information System,"Johnston, R. and de la Berra, T.",Transportation Research A,,,,,1,,,,,1,,
2,,Urban Activity System Analysis,"Meyer, Michael and E. Miller",Urban Transportation Planniniz: A Decision Oriented Approach,,,,,1,,,,,1,,
2,,Impacts of Commuter Rail Service as Reflected in Single‑Family Residential Property Values,"Armstrong, R.",Transportation Research Record,,,,,1,,,1,,,,
2,,"Transportation-Land-Use Interaction:  Empirical Findings in North America, and their Implications for Modeling","Badoe, D. and E. Miller",Transportation Research D,,,,,1,1,,,,,,
2,,Travel and the Built Environment ‑ Synthesis,"Ewing, R. and Cervero, R.",Transportation Research Record (forthcoming) (on disk) (ITS),,,,,1,,,,,,1,
2,,Commuting in Transit Versus Automobile Neighborhoods,"Cervero, R. and Gorham, R",Journal of the American Planning Association ,,,,,1,,,1,,,,
2,,Effects of Neotraditional Neighborhood Design on Travel Characteristics,"Friedman, B., S. Gordon, and J. Peers",Transportation Research Record,,,,,1,,,,,1,,
2,,"Accessibility of Neotraditional Neighborhoods: A Review of Design Concepts, Policies, and Recent Literature","Ryan, S. and M. McNally",Transportation Research,,,,,1,,,1,,,,
2,,Linking Land Use with Household Vehicle Emissions in the Central Puget Sound: Methodological Framework and Findings,"Frank, L., B. Stone, and W. Bachman",Transportation Research D,,,,,1,,,,,1,,
2,,Residential Density and Travel Patterns: Review of the Literature,"Steiner, R",Transportation Research Record ,,,,,1,,,,,1,,
2,,"The Impacts of Mixed Use and Density on the Utilization of Three Modes of Travel: The Single Occupant Vehicle, Transit, and Walking","Frank, L. and Pivo",Transportation Research Record,,,,,1,,,,,1,,
2,,Impacts of Traffic Calming,"Ewing, R.",Transportation Quarterly,,,,,1,,,,1,,,
2,,Urban spatial structure,"Anas, A., Amott, R., and Small, K. A.",Journal of Economic Literature,,,,,,,,1,,1,,
2,,"""Introduction"", ""Market Force that Determine Urban Land-use and Transportation Patterns"" And ""The Interaction of Public Policy with the Market Forces that Drive Land Use and Transportation'","Moore, Terry and Paul Thorsnes",The Transportation/Land Use Connection,,,1,,,,,,,,,1
2,,Ideal Policies for Increasing the Efficiency of Travel and Land-Use Patterns,"Moore, Terry and Paul Thorsnes",The Transportation/Land Use Connection,,,1,,,,,,,,,1
2,,Second-Best Policies for Increasing the Efficiency of Land-Use and Travel Patterns,"Moore, Terry and Paul Thorsnes",The Transportation/Land Use Connection,,,1,,,,,,,,,1
2,,"""A Process for Integrated Land-Use and Transportation Policy"", ""Creating Coordinated Land-Use and Transportation Policy"" and Appendix A","Moore, Terry and Paul Thorsnes",The Transportation/Land Use Connection,,,1,,,,,,,,,1
2,,Chpt's. 10&11,"Downs, Anthony",Stuck in Traffic,,,1,,,,,,,,,1
2,,The Geography of Urban Transportation. Chpt.2,"Hanson, Susan",The Geography of Urban Transportation,,,1,,,,,,,,,1
2,,Neotraditional Neighborhood Planning,Packet #1,,,,1,,,,,,,,,1
2,,"Transit-friendly streets, TCRP Report 33",Transportation Research Board,"Transit-friendly streets, TCRP Report 33",,,1,,,,,,,,,1
2,,Access Management,Packet #3,,,,1,,,,,,,,,1
2,,"Transportation and Land Development,, Chpt's 2&3","Stove, Vergil and Frank Koepke","Transportation and Land Development,",,,1,,,,,,,,,1
2,,Gasoline Consumption and Cities: A Comparison of U.S. Cities with a Global Survey.,"Newman, Peter & Jeffrey Kenworthy",APA Journal,,,,,,,,1,1,,,
1,,New directions for understanding transportation and land use.,"Giuliano, Genevieve.",Environment and Planning,,,1,,,,,,,,,
1,,"Urban Economics and Public Policy, ch.6 and ch.4","Heilbrun, James",Urban Economics and Public Policy,,,,,1,,,,,,,
1,,"Urban Economics and Public Policy, ch.8","Heilbrun, James",Urban Economics and Public Policy,,,1,,,,,,,,,
1,,"Urban Economics, ch.19, ch.20","O’Sullivan, ArthurUrban Economics",,,,1,,,,,,,,,
1,,"Jobs, housing, and transportation: Theory and evidence on interactions between land use and transportation","Deakin, Elizabeth","Transportation, Urban Form, and the Environment",,,1,,,,,,,,,
1,,Inside The Blackbox: Making Transportation Models Work For Livable Communities,"Beimborn, Edward and Rob Kennedy",Citizens for a Better Environment and The Environmental Defense Fund,,,1,,,,,,,,,
1,,Choosing the wrong technology: Or how to spend billions and reduce transit use,"Kain, John F.",Journal of Advanced Transportation,,,1,,,,,,,,,
1,,Regional governance of metropolitan form: The missing link in relating land use and transportation,"Porter, Douglas R.","Transportation, Urban Form, and the Environment",,,1,,,,,,,,,
1,,"Transit Metropolis: A Global Inquiry, (pp. 72-81)","Cervero, Robert",Transit Metropolis,,,,,,,,1,,,,
1,,"Transit Metropolis, ch 2, 4, 5","Cervero, Robert",Transit Metropolis,1,,,,,,,,,,,
1,,Remedies that Increase Residential Densities,"Downs, Anthony",Stuck in Traffic,,,,,1,,,,,,,
1,,"""Causes of Recent Increases in Traffic Congestion"", ""Strategies for Reduceing Congestion and Four Traffic Principles"", ""Increasing Carrying Capacity"", ""Peak-Hour Road Pricing"", and ""Demand-Side Remedies that Focus on Behavior"" ch.1-5","Downs, Anthony",Stuck in Traffic,1,,,,,,,,,,,
1,,"""Remedies that Increase Residential Densities"" ch.6","Downs, Anthony",Stuck in Traffic,,,,1,,,,,,,,
1,,"""Introduction"", ""Causes of Recent Increases in Traffic Congestion"", ""Strategies for Reduceing Congestion and Four Traffic Principles"" and ""Increasing Carrying Capacity""","Downs, Anthony",Stuck in Traffic,,,,,,,,,,,,1
1,,"""Peak-Hour Road Pricing"", ""Demand-Side Remedies that Focus on Behavior"", ""Remedies that Increase Residential Densities"" and Appendix A","Downs, Anthony",Stuck in Traffic,,,,,,,,,,,,1
1,,"""Changing the Jons-Housing Balance"", Concentrating Jobs in Large Clusters"" and ""Local Growth-Management Polices""","Downs, Anthony",Stuck in Traffic,,,,,,,,,,,,1
1,,"""Changing the Jons-Housing Balance"" and ""Concentrating Jobs in Large Clusters"", ch.7-8","Downs, Anthony",Stuck in Traffic,,,1,,,,,,,,,
1,,"Stuck in Traffic,61-75","Downs, Anthony",Stuck in Traffic,,,,,,,,,1,,,
1,,"Stuck in Traffic,l-34","Downs, Anthony",Stuck in Traffic,,,,,,,,,1,,,
1,,"Stuck in Traffic,79-111","Downs, Anthony",Stuck in Traffic,,,,,,,,,1,,,
1,,"Stuck in Traffic,7-42","Downs, Anthony",Stuck in Traffic,,,,,,,,,1,,,
1,,Transport Concepts in European Cities,"Pharoah, Tim and Dieter Apel",Transport Concepts in European Cities,,,1,,,,,,,,,
1,,The Transportation/Land Use Connection,"Newman, P. and J. Kenworthy",The Transportation/Land Use Connection,,,1,,,,,,,,,
1,,Automobile subsidies and land use: Estimates and policy responses,"Hanson, Mark E.",Journal of the American Planning Association,,,1,,,,,,,,,
1,,Land uses and travel at suburban activity centers,"Cervero, Robert",Transportation Quarterly,,,1,,,,,,,,,
1,,Inside The Blackbox: Making Transportation Models Work For Livable Communities,"Bullard, Robert D. and Glenn S. Johnson",Citizens for a Better Environment and The Environmental Defense Fund,,,1,,,,,,,,,
1,,"Transportation Planning on Trial, ch 1,2 ","Garret, Mark and Martin Wachs",Transportation Planning on Trial,1,,,,,,,,,,,
1,,"At Road's End, pp5-9","Carlson, Daniel and Cy Ulberg",At Road's End,1,,,,,,,,,,,
1,,"Managing Growth in America's Communities, Chapters 1, 8.","Porter, Doug",Managing Growth in America's Communities,1,,,,,,,,,,,
1,,Legislation: http://www.ocd.wa.gov/info/lgd/growth/law/index.tpl  Also see: http://www.ocd.wa.gov/info/lgd/growth/vision.tpl#toc,,The Washington Growth Management Act,1,,,,,,,,,,,
1,,My Fair Share: Equity Issues in Urban Transportation,"Hodge, David",Geography of Transportation,1,,,,,,,,,,,
1,,http://www.friends.org/resources/lutraq.html,,http://www.friends.org/resources/lutraq.html,1,,,,,,,,,,,
1,,"Expanding Metropolitan Highways, Chapters 4-6",TRB,Expanding Metropolitan Highways,1,,,,,,,,,,,
1,,"How to ""Build Our Way Out of Congestion"": Innovative Approaches to Expanding Urban Highway Capacity. Reason Public Policy Institute","Samuel, Peter","How to ""Build Our Way Out of Congestion"": Innovative Approaches to Expanding Urban Highway Capacity. Reason Public Policy Institute",1,,,,,,,,,,,
1,,Restoring the Rule of Law,"Burrington, Stephen",Restoring the Rule of Law,1,,,,,,,,,,,
1,,"Transit and Urban Form, Chapters 1-3",PBDQ,Transit and Urban Form,1,,,,,,,,,,,
1,,"The Urban Transportation Problem, Pricing","Kain, John F",Transportation Economics and Policy,1,,,,,,,,,,,
1,,Conservatives and Mass Transit: Is It Time for a New Look?,Weyrich and Lind,Conservatives and Mass Transit: Is It Time for a New Look?,1,,,,,,,,,,,
1,,"Does Transit Really Work? Thoughts on the Weyrich/Lind ""Conservative Reappraisal""","Gordon, Peter",Reason Public Policy Institute,1,,,,,,,,,,,
1,,"""Road Relief""","Litman, Komanoff, Howell","""Road Relief""",1,,,,,,,,,,,
1,,The Transportation Pricing Working Group Summary Report,"Carlson, Daniel and Mathew Kitchen",Northwest Forum and Puget Sound Regional Council,1,,,,,,,,,,,
1,,Congestion Pricing: New Life for an Old Idea?,"Small, Kenneth",Access,1,,,,,,,,,,,
1,,Will Congestion Pricing Ever Be Adopted?,"Wachs, Martin",Access,1,,,,,,,,,,,
1,,An Evaluation of Public Opinion About Toll Roads and Congestion Pricing,"Ulberg, Cy and Gordon MacFarland",,1,,,,,,,,,,,
1,,Pricing,"Gómez-Ibáñez, José",Transportation Economics and Policy,1,,,,,,,,,,,
1,,TDM Encyclopedia,Litman,http://www.vtpi.org/tdm/,1,,,,,,,,,,,
1,,Alternatives to Sprawl,"Young, Dwight",Lincoln Institute of Land Policy,1,,,,,,,,,,,
1,,Transportation and Growth Management ,Cy Ulberg,Transportation and Growth Management ,1,,,,,,,,,,,
1,,Is The American Dream Endless Sprawl?: Smart Growth and Its Meaning for People and Places,"Liberty, Robert",Is The American Dream Endless Sprawl?: Smart Growth and Its Meaning for People and Places,1,,,,,,,,,,,
1,,The Sprawling of America: In Defense of the Dynamic City,"Staley, Samuel",Reason Public Policy Institute,1,,,,,,,,,,,
1,,"On Form versus Function: Will the New Urbanism Reduce Traffic, of Increase It?","Crane, Randall",Journal of Planning Education and Research,1,,,,,,,,,,,
1,,Creating Livable Communities,,http://www.newurbanism.org/,1,,,,,,,,,,,
1,,"The New Urbanism: an alternative to modern, automobile-oriented planning and development","Steuteville, Robert", http://www.newurbannews.com/AboutNewUrbanism.html,1,,,,,,,,,,,
1,,About the King County TOD Program: ,,http://www.metrokc.gov/kcdot/alts/tod/todindex.htm ,1,,,,,,,,,,,
1,,PSRC: Destination 2030,,http://psrc.org/projects/mtp/dest2030links.htm,1,,,,,,,,,,,
1,,PSRC: 1998 Regional Review,, http://psrc.org/datapubs/pubs/regrev98.htm,1,,,,,,,,,,,
1,," ""Rural Church Issue Still Simmering.""",,Seattle Times,1,,,,,,,,,,,
1,,Least Cost Planning Analysis for Destination 2030:,,http://psrc.org/datapubs/pubs/mtp/leastcostplanning.htm,1,,,,,,,,,,,
1,,Litman: Evaluating Transportation Equity,,http://www.islandnet.com/~litman/,1,,,,,,,,,,,
1,,Blue Ribbon Commission Final Report,,http://ltc.leg.wa.gov/brct/,1,,,,,,,,,,,
1,,Seattle's Comprehensive Plan,,http://www.ci.seattle.wa.us/planning/homecp.htm,1,,,,,,,,,,,
1,,Seattle's Transportation Plan,,http://www.ci.seattle.wa.us/td/tsp.asp,1,,,,,,,,,,,
1,,Bellevue's Comprehensive Plan,,http://www.ci.bellevue.wa.us/PCD/complan/index.htm,1,,,,,,,,,,,
1,,WSDOT Corridor Needs Study for East King County: ,,http://www.wsdot.wa.gov/mobility/conekc/coneKC%20html/intro.html,1,,,,,,,,,,,
1,,Sound Transit Link Light Rail:,,http://www.soundtransit.org/linkrail/linkrail.htm,1,,,,,,,,,,,
1,,WSDOT Interstate 405 Corridor Program,,http://www.wsdot.wa.gov/I-405/,1,,,,,,,,,,,
1,,The WSDOT Translake Project,,http://www.wsdot.wa.gov/translake/,1,,,,,,,,,,,
1,,A Broader Context for Transportation Planning: Not Just An End In Itself,"Dittmar, H.",Journal of the American Planning Association,,,,1,,,,,,,,
1,,Hell on wheels,"Kay, J.",Planning,,,,1,,,,,,,,
1,,Cars and Their Enemies,"Wilson, J.",Commentary 104,,,,1,,,,,,,,
1,,The Trouble with Traffic,"Boanrnet, M. and R. Crane",Travel by Design,,,,1,,,,,,,,
1,,Voting with Our Wheels,"Jones, D.",Paper presented at Financing the Future: The UCLA Symposium on the Transportation-Land Use-Air Quality Connection,,,,1,,,,,,,,
1,,The Asphalt Rebellion,"Ehrenhalt, A",Governing,,,,1,,,,,,,,
1,,Smart Transportation for Smart Growth,"Pickrell, Don","Smart Growth: Economy, Community, Environment",,,,1,,,,,,,,
1,,Where's the Sprawl?,"Gordon, P. and H. Richardson",Journal of the American Planning Association,,,,1,,,,,,,,
1,,"Sprawl: What Don't We Know and How Can we know it?""","Crane, R. lland R. Greenstein",UCLA and the lincon insitute of land pilicy,,,,1,,,,,,,,
1,,"Transportation and Urban Form: Stage in the spatial in the evolution of the american metropolis, Ch. 2","Muler, P.",The geography of urban Transportation,,,,1,,,,,,,,
1,,"Demographics, changing preference, and travel","Dubphy, R.",Moving beyond gridlock:traffic and deveopment,,,,1,,,,,,,,
1,,"Aggregate Characteristic of Urban Travel, pp. 81- 99","Baber, G.",The geography of urban Transportation,,,,,1,,,,,,,
1,,"Aggregate Characteristic of Urban Travel, Ch 4","Baber, G.",The geography of urban Transportation,,,,1,,,,,,,,
1,,Travel Demand,"Small, K.",Urban transportation Economics,,,,1,,,,,,,,
1,,"Recent advances in urban transportation planning methods, models, and research techniques","Ferguson, E.",Journal of Planning Education and Research,,,,1,,,,,,,,
1,,The demand for travel,"Boarnet, M. and R. Crane",Travel by Design,,,,1,,,,,,,,
1,,Induced travel: a review of recent liturature and the implications for transportation and environment policy,"Noland, R. and L. Lem",Tranportation Research D,,,,1,,,,,,,,
1,,The New Urbanism: Toward an Architecture of Community,"Katz, P.",Mcgraw-Hill,,,,1,,,,,,,,
1,,"Travel Demand and the 3Ds: density, diversity, and design","Cervero, R. and K. Kockelman",Transportation Research D.,,,,1,,,,,,,,
1,,Walkable suburbs? An evaluation of neotraditional communities at the urban edge,"Southworh, M.",Journal of the American Planning Association,,,,1,,,,,,,,
1,,Studies of urban form and travel,"Boarnet, M. and R. Crane",Travel by Design,,,,1,,,,,,,,
1,,An empirical study of travel behavior,"Boarnet, M. and R. Crane",Travel by Design,,,,1,,,,,,,,
1,,Traditional Neighborhoods and Auto Ownership,"Hess, D. and P. Ong.","Lewis Center Working Paper, UCLA",,,,1,,,,,,,,
1,,Mixed land uses and commuting: evidence from the American housing survery,"Cervero, R.",Transportation Research 31A,,,,1,,,,,,,,
1,,Can welfare recipients afford to work far from home?,"Blumenberg, E. and P. Ong.",Access 10,,,,1,,,,,,,,
1,,"Spatial mismatch or automobile mismatch? An examination of race, residence, and communting in U. S. metropilitan areas","Taylor, B. and P. Ong.",Urban Studies,,,,1,,,,,,,,
1,,The influence of uncertain job location on urban form and the journal to work,"Crane, R.",Journal of Urban Economics,,,,1,,,,,,,,
1,,Highway blues: nothing a little accessibility can't cure,"Handy, S. ",Access ,,,,1,,,,,,,,
1,,A note on supply and demand in travel access,"Crane, R., D. Van Hengel and L. Schweitzer",UCLA Working Paper,,,,1,,,,,,,,
1,,"When finance leads planning: urban planning, highway planning, and metropolitan freeways in California","Toyor, B",Journal of Planning Education and Research,,,,1,,,,,,,,
1,,Hardwiring corrdination among land-use and transportation agencies,"Lerner-lam, E.",Journal of Urban Planning and Development,,,,1,,,,,,,,
